Symbol,Name,AtomicNumber,AtomicWeight,Dielectric_Constant,Source_Dielectric
La,lanthanum,57,138.9055,27,"https://en.wikipedia.org/wiki/Lanthanum_oxide#:~:text=Lanthanum%20oxide%20has%20p%2Dtype,dielectric%20constant%2C%20%CE%B5%20%3D%2027."
Ce,cerium,58,140.116,24.5,"https://iopscience.iop.org/article/10.1088/2515-7639/aacff0#:~:text=Cerium%20being%20a%20rare%2Dearth,%E2%80%932.8)%20%5B7%5D."
Pr,praseodymium,59,140.90765,35,https://www.researchgate.net/publication/260487631_High-K_Dielectrics_The_Example_of_Pr2O3
Nd,neodymium,60,144.24,5.66,https://onlinelibrary.wiley.com/doi/abs/10.1002/pssa.2211210221
Pm,promethium,61,145,100000,NULL
Sm,samarium,62,150.36,11,"https://nanografi.com/rare-earth-materials/rare-earth-oxide-powder/samarium-oxide-sm2o3-powder/#:~:text=Sm2O3%20outstanding,dispersion%2C%20and%20low%20trapping%20rates."
Eu,europium,63,151.964,100000,NULL
Gd,gadolinium,64,157.25,10,"https://pubmed.ncbi.nlm.nih.gov/10082459/#:~:text=The%20gadolinium%20oxide%20film%20has%20a%20dielectric%20constant%20of%20approximately,square%20centimeter%20at%20zero%20bias."
Tb,terbium,65,158.92534,14,https://www.sciencedirect.com/science/article/pii/S0040609011019146
Dy,dysprosium,66,162.5,4100,https://www.scielo.br/j/ce/a/DXN54SgHsvfRmYyrjMWcC3g/?lang=en#:~:text=For%20Dy%20the%20dielectric%20concentration%20constant%20reaches%204100.
Ho,holmium,67,164.93032,4500,https://www.sciencedirect.com/science/article/pii/S0272884212010309
Er,erbium,68,167.259,100000,NULL
Tm,thulium,69,168.93421,100000,NULL
Yb,ytterbium,70,173.04,4500,"https://www.scielo.br/j/mr/a/mCpDhmyWvp5ntNFZchKFQhd/?format=pdf&lang=en#:~:text=The%20dielectric%20constant%20can%20reach,dielectric%20properties%20in%20BZT10%20ceramics."
Lu,lutetium,71,174.967,12,"https://nanografi.com/rare-earth-materials/rare-earth-oxide-powder/lutetium-oxide-lu2o3-powder/#:~:text=The%20compound%20is%20also%20known,about%20%CE%BA%20%3D%2011%E2%80%9313."
Hf,hafnium,72,178.49,6.75,
Ta,tantalum,73,180.9479,11.6,
W,tungsten,74,183.84,100000,NULL
Re,rhenium,75,186.207,18.7,https://www.azom.com/properties.aspx?ArticleID=1491
Os,osmium,76,190.23,100000,NULL
Ir,iridium,77,192.217,100000,NULL
Pt,platinum,78,195.078,7,
Au,gold,79,196.96655,6.9,https://www.mit.edu/~6.777/matprops/gold.htm
Hg,mercury,80,200.59,1.00074,
Tl,thallium,81,204.3833,46.9,
Pb,lead,82,207.2,18.1,
Bi,bismuth,83,208.98038,40,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.scholarsresearchlibrary.com/articles/electromagnetic-properties-of-bismuth-oxide-thin-film-deposited-on-glass-and-alumina.pdf
Po,polonium,84,209,100000,NULL
At,astatine,85,210,100000,NULL
Rn,radon,86,222,100000,NULL
Fr,francium,87,223,155,https://www.allpcb.com/sns/dielectric-constant-value-for-fr-4-mater_26243.html
Ra,radium,88,226,100000,NULL
Ac,actinium,89,227,,
Th,thorium,90,232.0381,,
Pa,protactinium,91,231.03588,,
U,uranium,92,238.02891,,
Np,neptunium,93,237,,
Pu,plutonium,94,244,,
Am,americium,95,243,,
Cm,curium,96,247,,
Bk,berkelium,97,247,,
Cf,californium,98,251,,
Es,einsteinium,99,252,,
Fm,fermium,100,257,,
Md,mendelevium,101,258,,
No,nobelium,102,259,,
Lr,lawrencium,103,262,,
Rf,rutherfordium,104,261,,
Db,dubnium,105,262,,
Sg,seaborgium,106,266,,
Bh,bohrium,107,264,,
Hs,hassium,108,277,,
Mt,meitnerium,109,268,,
Ds,darmstadtium,110,281,,
Rg,roentgenium,111,272,,
Cn,copernicium,112,285,,
Nh,nihonium,113,286,,
Fl,flerovium,114,289,,
Mc,moscovium,115,289,,
Lv,livermorium,116,293,,
Ts,tennessine,117,294,,
Og,oganesson,118,294,,
C,Carbon,,,5.82971398,Materials Project
C,Carbon,,,6.598070947,Materials Project
N,Nitrogen,,,5.01377104,Materials Project
N,Nitrogen,,,1.53145984,Materials Project
N,Nitrogen,,,1.40798192,Materials Project
N,Nitrogen,,,1.39572475,Materials Project
B,Boron,,,9.520076497,Materials Project
TiO2,Titanium Dioxide,,,9.464398683,Materials Project
TiO2,Titanium Dioxide,,,63.21909959,Materials Project
TiO2,Titanium Dioxide,,,19.63324553,Materials Project
TiO2,Titanium Dioxide,,,8.703688133,Materials Project
TiO2,Titanium Dioxide,,,35.47354606,Materials Project
